"label","headline"
"1"," BAGONG BRADLEY COOPER FILM NA PINAGALANG 'ALOWHA'"
"0"," Hinikayat ng obispo ang mga saksi na magsalita laban sa mga pagpatay sa droga"
"0"," Hinihimok ng mga militante si Duterte na wakasan ang kanyang giyera kontra droga"
"0"," Wala nang Senate impeachment trial para sa poll chief, sabi ni Sotto"
"1"," Inulit ni Faeldon ang face off dare kay Trillanes"
"1"," WATCH: Pres Rody full speech para sa National Heroes Day"
"0"," Mag-isa sa Bahay Pangarap"
"1","Leni Robredo sa wakas ay napagod ang kanyang pagtanggap sa administrasyon ni Duterte"
"0"," Ang mga institusyon ng gobyerno ay nagpapanatili ng 'magandang' rating ng kasiyahan"
"1"," Kakasuhan ni Solicitor General Calida si Senator Trillanes dahil sa pagtawag sa kanya bilang Commander-in-Thief"
"0"," Ang mga Egyptian ay nagsasaka ng isda 3,500 taon na ang nakalilipas: pag-aaral"
"0"," Ang nag-iisang bettor ay nakakuha ng P45-M lotto pot"
"0"," Bine-verify pa rin ng Navy ang ulat ng pagbagsak ng MH370 sa Tawi-Tawi"
"0"," IN THE KNOW: Heidi Mendoza, dating state auditor"
"0"," Humingi ng paglilinaw si Robredo sa deklarasyon ng terror alert"
"0"," Biyudang Marcos, apo tumakbo sa Ilocos Norte governor, vice governor"
"1"," Pulitika sa Pilipinas: Inihagis ni Mar Roxas ang Dilaw na T-Shirt Pabor sa Batman Suit"
"1"," Ipinakilala ng Mercedes ang Jeepney Benz Nito"
"0"," Ang Archdiocese of Cebu ay nagtakda ng mga alituntunin para sa paggising, libing ni Cardinal Vidal"
"0"," Ang AFP ay may utang na P10.9M sa hindi pa nababayarang mga singil sa kuryente"
"1","Bam Aquino na hindi pa naipapasa sa Senado ang kanyang Free Higher Education Act"
"1","MANNY PACQUIAO: MULA SA TAHANAN HANGGANG SA MGA MAYAMAN HANGGANG SA MGA BAHAN"
"1"," Mga upuan sa musika sa pagitan ng mga pamilya Marcos at Aquino"
"1"," Ibinunyag ni Cayetano ang mga senador na magtatanggol kay Duterte sa sandaling umalis ito sa senado"
"1"," Nawala ng Oposisyon ang Pilipinas noong 2016 at natalo muli noong 2018 pagkatapos ng #SONA2018"
"0"," Ang bayan ng Leyte ay nagtatakda ng mga aktibidad sa fiesta"
"1"," BREAKING: Rizal Monument, Inilipat Para Pagbigyan ang Miting De Avance ni Mayor Duterte sa Luneta"
"0"," Ang paglilinis sa mga drug lord ay nakakabalisa sa mga solon"
"0"," Itinanggi ng PhilHealth ang P6B na utang kay Phapi"
"0"," Panelo: Trillanes engaged in publicity stunts"
"1"," LOOK: Inilantad ng mga netizens si Xian Gaza, ang lalaking humiling ng kape kay Erich Gonzales sa pamamagitan ng isang nakakatakot na proposal"
"0"," Idineklara ng quake drill ang isang 'malaking tagumpay' sa Metro"
"0"," Pinangunahan ni Whitmer ang all-female Democratic ticket sa Michigan"
"0"," PNP, militar, naghahanda ng mga hakbang sa seguridad sa botohan"
"0"," Maaaring magpadala ang Senado ng mga katanungan kay Aquino upang tapusin ang pagtatanong sa Mamasapano clash"
"1"," WATCH:Ibinunyag ng mapagpakumbabang Bise Presidente Robredo na kumukuha siya ng mga magagamit pa ring basura sa pagbisita sa US"
"0"," Hindi pa rin nagastos ang P15-B na pondo para sa kalamidad"
"1"," ANG BABAENG BUWIS NG PILIPINAS, NANUNOD SA MALAKING ISDA: MANNY PACQUIAO AT ROSE FOSTANES"
"0"," Iwasan ang mga lugar ng labanan sa Misor, sinabi ng mga turista"
"1"," IOWA STATE FAIR TINANGALAN NG IOWA CIRCUS"
"1"," SI PACQUIAO AY NAGSUMBA SA LAS VEGAS NG $5 MILLION, MAYWEATHER NAG-Alok NA MAGBAYAD KUNG ANG FILIPINO BOXER AY NAHATID"
"0"," 4 na hostage ng Samal ang dinala sa kabundukan ng Davao"
"1"," Nakatakas si Michele Bachmann Mula sa Pasilidad ng Pag-iisip ng St. Peter, Nag-isyu ng Nakatutuwang Pahayag Tungkol sa Cuba, ISIS"
"0"," Hindi kinumpirma ng utos ni Duterte ang mga pang-aabuso sa karapatan – Palasyo"
"1"," Ibinigay ng SEC ang Rappler ng Status ng Cookbook"
"0"," Bumababa ang tubig sa Pangasinan ngunit binaha ang bayan ng Ecija"
"0","Sa Asean meet sa Metro Manila, gumugol ng 5 araw na paghinga sa mga destinasyong ito"
"0"," Ang mataas na hukuman ng Wisconsin ay pumanig sa sinibak na konserbatibong propesor"
"1"," IN PHOTOS: Nag-react ang mga World Leaders sa Bagong Ordinansa Anti-Profanity ng Baguio City"
"0"," Aquino: Anong kaguluhan?"
"0"," Tinitingnan ni Bato ang 'segregation' ng Prison para ihiwalay ang mga Chinese drug lords"
"0"," Sotto: Inflation? Magtaas ng mga rate ng interes"
"1"," Inihayag ng Department of Health na libre ang pagpapaospital para sa lahat ng 'mahihirap' na Pilipino!"
"0"," Zero crime sa Davao City sa Day1 ng ML – PNP"
