"label","headline"
"0"," Isponsor ng AFP ang Malaysia tour ng 50 Moro youth leaders"
"0","Pinayagan ng SC ang Romero firm na kasuhan ang gobyerno ng P4.5-B claim"
"0"," PCSO rues restraining order vs lotto system"
"0"," CBCP: Tapusin ang kontraktwalisasyon sa paggawa"
"0"," Higit pang mga martial law arrest ang paparating, sabi ng AFP"
"0"," Palasyo: Walang mas magandang arena kaysa sa PH para sa paglutas ng 'extrajudicial killings'"
"0"," Inaakusahan ng mga abogado ni Robredo si Marcos revisor ng paglabag sa mga panuntunan ng PET"
"0"," Ikinatuwa ng Palasyo ang plano ni Poe na imbestigahan ang mga gastos sa biyahe ni Duterte"
"0"," Prank calls swamp 911 hotline"
"0"," 1-toneladang 'shabu' ang dumulas sa PH ports–PDEA"
"0"," Paalam ni Aquino"
"0"," Nagbabala ang eksperto sa pagkahulog sa 'propaganda trap' ng IS"
"0","'Ang mahinang sistema ng hustisya ay nagbubunga ng krimen, katiwalian'"
"0"," Mahirap paniwalaan ang mga SAF troopers ay namatay sa isang kakaibang kaakit-akit na lugar"
"0"," Bumaba sa listahan ng mga botante sa Maynila ang 108 'flying' voters"
"0"," Isama ang CPR sa kurikulum ng paaralan – Angara"
"0"," Ang mga manggagawa ay naghahanap ng P157 na dagdag sahod"
"0"," Binabawasan ng DepEd ang trabaho ng mga guro"
"0"," Hindi mo kami matatapos, sabi ni Sison kay Duterte"
"0"," Tinuligsa ni De Lima ang summary execution"
"0"," Pinabilis ng Bulacan ang rehab ng mga kalsada, kanal"
"0"," Araw ng Kalayaan ng Greece"
"0"," 6 ang patay sa magdamag na anti-drugs operations sa Bulacan"
"0"," Isa na namang panalo para sa UP cum laude sa wheelchair"
"0"," Mas kaunting mga public appearance si Duterte, mas kaunting mga biyahe sa ibang bansa noong 2018"
"0"," Naghahanap ng 'exception' si Alvarez sa preventive suspension ng mga executive na nahaharap sa graft raps"
"0"," Cimatu: Ang trabaho ko ay para sa susunod na henerasyon"
"0"," Nangako si Duterte na ibababa ang kalakalan ng droga sa loob ng 5 taon"
"0"," Duterte on trolls: I have followers"
"0"," Nilalayon ng PNP ang zero stray bullet incidents sa W. Visayas"
"0"," Ipinaabot din ni Joma ang pagtanggap sa mga 'rejectionist'"
"0"," Ang daloy ng trapiko sa mga expressway sa North eases"
"0"," Tinutulungan ng 'AlDub' na tumaas ang benta ng paputok"
"0"," Nangako ang Russia na gampanan ang 'mahalagang papel na nagpapatatag' sa Asia-Pacific"
"0"," Bataan Freedom Run: Ready, set, go!"
"0"," Pinag-iisipan ng DOLE ang moratorium sa deployment ng mga household worker sa Kuwait"
"0"," Nagdaos ng wine fair ang prime strawberry producer ng PH"
"0"," Ang mga senador ay naghahanap ng dagdag na badyet para sa Bangsamoro"
"0"," Sinabi ng AFP na malinis na ang mga pangunahing kalsada sa Marawi"
"0"," Tiniyak ni Erap sa mga legit na vendor"
"0"," 'Depekto ang mga trak ng bumbero, kuwestiyonable ang kontrata'"
"0"," Walang pandaraya sa botohan–Comelec"
"0"," Ipinadala ng Burma ang icon ng demokrasya na si Suu Kyi sa Asean meet"
"0"," Hinimok ng mga employer na kumuha ng mga repormang umaasa sa droga"
"0"," Estrada clan na sumusuporta sa iba't ibang taya para sa 2016; Pinili ni Guia si Roxas"
"0"," Umakyat na sa 160 ang mga nasawi sa gobyerno sa Marawi"
"0"," 'Neutralizer' kumpara sa 'Fiscalizer'"
"0"," Sa gitna ng mga protesta, nawawalan ng kinang ang vanity tax bill"
"0"," Ipinag-utos ng korte ang muling pagsisiyasat sa kasong kidnap-slay ng Korean"
"0"," Ang Comelec ay kumikita ng hybrid na botohan"
"0"," Sa mensahe ng Ash Wednesday, binatikos ni Tagle ang pagkukunwari ng mga pulitiko"
"0"," Duterte sa Bahay: Padalusin ang impeachment ni Sereno"
"0"," Ikinuwento ng survivor ang pagtakas mula sa nagniningas na init"
"0"," Si Poe ay nananatiling nangunguna, si Roxas ay umangat sa pinakabagong survey ng Pulse Asia"
"0"," Naghain si Alvarez ng house bill na kumikilala sa mga unyon ng LGBT"
"0"," 7,000 turista, mga lokal ang inaasahan sa pagsisimula ng Siargao World Surfing Cup bukas"
"0"," 5 drug personalities arestado sa Tacloban"
"0"," BFAR na bubuksan ang tanggapang panlalawigan sa hilagang Palawan"
"0"," Ang Indonesian na 'terorist' ay nasa kustodiya na ng BI"
"0"," Isa pang beauty contest? Ang isang ito ay tumatalakay sa HIV/AIDS"
"0"," Si Crooner Arthur Manuntag ay sumulat ng 30"
"0"," Matabang Pasko"
"0"," Pinipigilan ba ng gobyerno ang mga taya nito?"
"0"," Umaasa ang kapayapaan sa pag-uusap sa Korea"
"0"," Naospital si Anwar Ibrahim ng Malaysia dahil sa pananakit ng balikat at likod"
"0","WHAT WENT BEFORE: P10-B pork barrel scam"
"0"," Mar Roxas on 'Yolanda': No regrets"
"0"," Paligsahan para sa mga imbentor sa Kanlurang Visayas"
"0"," Ang desentralisasyon ng gobyerno ay maaaring gawin sa ilalim ng 1987 Charter—Lacson"
"0"," Si Duterte ay nakakuha ng matataas na grado para sa relokasyon ng mga Yolanda survivors"
"0"," Tanging malinis na saya para sa mga turista sa Boracay"
"0"," PAGASA: Init, mahinang pag-ulan dahil sa papalapit na tag-ulan"
"0"," Malugod na tinatanggap ng mga senador ang pagbibitiw ni Teo"
"0"," Ang 'Talim' ay tumitindi, nagdudulot ng mga pag-ulan sa Luzon, Visayas"
"0"," Ipinagmamalaki ng mga mamimili ang TRO vs retail power deal"
"0"," 8,000 Philippine Army slots ang binuksan"
"0"," Tinatanggihan ng mga mambabatas ng Iran ang mga sagot ni Rouhani sa mga problema sa ekonomiya"
"0"," Pinahihintulutan ng korte ang nakakulong na Pulang pinuno na lumahok sa usapang pangkapayapaan"
"0","'Mangyan at heart' earns CLSU honor"
"0"," Ang nagulat na magsasaka ng kambing ay nakakuha ng P1M para sa tip kay Dayan"
"0"," Abogado: Binibigyan ni Sereno ng buong kooperasyon ang proseso ng impeach ng Kamara"
"0"," Ang mambabatas ay nagmungkahi ng P3K na bayad sa pagpasok sa casino"
"0"," Sinabi ni Duterte na hinding-hindi maaaring maging presidente si Robredo dahil ang ginagawa niya ay magdasal"
"0"," Pusta sa Negros Occidental, umabot na sa P41.8 milyong Mega Lotto jackpot"
"0","DMCI: Pamana, ang pag-unlad ay maaaring magkakasamang mabuhay"
"0"," Oras na para suriin ang Pabasa para sa anti-Semitic na nilalaman, sabi ng obispo ng Caloocan"
"0"," DA maglalabas ng P31-M na tulong sa mga magsasaka na apektado ng avian flu sa Pampanga"
"0"," ROUNDUP: Balita sa loob at paligid ng Metro Manila (Sept. 25, 2018)"
"0"," Inanunsyo ng POEA ang mga bakante sa Saudi Arabia, Germany, Taiwan, Japan"
"0"," Duterte na lumipad sa Albay, abo o walang abo"
"0"," Dureza: Bini-validate pa rin ng AFP ang mga ulat tungkol sa pagpugot ng ulo sa biktima ng German kidnap"
"0"," Mga Mukha ng Balita: Ismael Sueno"
"0"," PNP, sinisiyasat ang 8 bank accounts ng 'drug lord'"
"0"," Dating DILG chief Sueno humingi ng Senate probe"
"0"," Ang panukalang batas na nagdedeklara ng holiday na 'kasambahay' ay pumasa sa 2nd reading"
"0"," Hawking: 'Maaaring maging Venus ang Earth'"
"0"," Nagpaplano ang gobyerno ng joint ventures para mapaunlad ang lupa ng AFP"
"0"," DoH: I-screen nang mahigpit ang mga pagkain na ibinigay sa mga bakwit ng Mayon"
"0"," House nagbigay ng P1,000 na budget sa CHR, binawasan ng 75% ang pondo ng drug rehab"
"0"," Ang unang biyahe ng LRT 2 ay magsisimula ng 4:30 ng umaga ngayon"
"0"," Lumipat ang mga bansa upang iligtas ang populasyon ng sea cow"
"0"," Hindi itikom ni Duterte ang kanyang bibig sa antidrug war"
"0"," Maninindigan ang Senado sa mga pagbabago sa BBL—Zubiri"
"0"," Ang demanda ni Dems ay nagsasabwatan sa pagitan ng Trump camp, Russia"
"0"," Iginiit ni Drilon na imbestigahan ng Ombudsman ang pagkamatay ni Kian"
"0"," Arestado si Dayan sa Pangasinan"
"0"," Solon, nagbabala ang unyon sa mga mamimili sa pagkabigla sa presyo mula sa bagong batas sa buwis"
"0"," Go springs surprise sa Valenzuela CITY"
"0"," Bro. Nag-aalala si Eddie sa EJK, mga unyon ng parehong kasarian"
"0"," 'Middle ground' ang mata ni Bello sa endo"
"0"," Veloso recruiter humingi ng proteksyon ng pulisya"
"0"," Wife learned hubby died from mysterious texter"
"0"," 'Veep post na pinakamahusay para kay Grace Poe'"
"0"," Paghahanap ng angkop na lugar"
"0"," LTO kay Maria Isabel Lopez: Isuko ang driver's license"
"0"," Proteksyon sa kasarian pagkatapos ng 20 taon ng PMA women power"
"0"," Binay: Kung maaalala, tinalo ko si Roxas noong 2010"
"0"," Nanawagan ang gobyerno para tulungan si Quezon matapos ang pagkawasak ni 'Nina'"
"0"," Ping to PNP: Huwag sundin ang mga iligal na utos, kahit kay Duterte"
"0"," Ikinatuwa ng Palasyo si ex-Gov. Si Reyes ay bumalik sa kulungan"
"0"," Palasyo: Mga larawan ni Paolo Duterte kasama ang mga drug lords na 'propaganda' lang"
"0"," Dumikit sa kanyang gilagid: Paliwanag ng ugali ni Duterte"
"0"," Tinatamasa ng mga 'Red' sa Gabinete ang tiwala ng Pangulo – Palasyo"
