label,headline,search keyword,fake news rating
1,"Nag-post ang CNN Philippines ng isang artikulo sa isang Jointlab, isang produkto para sa magkasanib na sakit na binuo ni Dr. Tony Leachon",Philippines,fake
1," Nag-upload ang CNN Philippines ng kwentong nagpo-promote ng Neocardia caps, isang produkto na inirerekomenda ng doktor na maaaring gamutin ang hypertension, linisin ang mga daluyan ng dugo, makatulong sa pagbaba ng timbang at ibalik ang paningin ng isang tao.",Philippines,fake
1, Makakakuha ng tulong ang mga Pilipino sa pagkuha ng Taxpayer Identification Number (TIN) card na may bayad,Philippines,fake
1," Ang Japan ay naglilipat ng mga armas sa Pilipinas noong Hunyo 2023, na nagdulot ng alarma sa China",Philippines,fake
1, Pinagsabihan ng International Court of Justice ang retiradong Supreme Court associate justice na si Antonio Carpio dahil sa reklamo sa presensya ng mga Chinese vessel sa loob ng teritoryo ng Pilipinas.,Philippines,fake
1," Ang Pilipinas ay ang ""pinakamabilis na lumalagong bansa sa mundo.""",Philippines,fake
1," Ganap na pinapanumbalik at pinalalakas ng Jointlab ang mga kasukasuan, pinapawi ang pananakit at pinapanumbalik ang sirkulasyon, at tinutulungan ang mga apektadong kasukasuan sa halos anumang yugto ng magkasanib na sakit upang makamit ang kumpletong paggaling sa loob lamang ng dalawa hanggang tatlong linggo ng paggamot.",Philippines,fake
1,"Ang Asian Development Bank o ADB ay nagbibigay sa Pilipinas ng $30 bilyon na tulong sa pagpapaunlad, sabi ni Bongbong Marcos.",Philippines,fake
1, Pinakamalaking sasakyang panghimpapawid sa mundo na ginawa kamakailan ng mga Pilipino,Philippines,fake
1, Isang korte sa Pilipinas ang naglabas ng international arrest warrant para kay Bill Gates bilang bahagi ng imbestigasyon sa COVID-19 vaccination roll-out sa teritoryo.,Philippines,fake
1, Nagpaputok ng water cannon ang Philippine Coast Guard sa mga bangka ng China sa West Philippine Sea noong Mayo 2023,Philippines,fake
1," Nagbabala ang UK sa mga dayuhang sasakyang-dagat na nagtatangkang pumasok sa West Philippines Sea na ang kanilang militar ay ""dudurog"" ng mga hindi gustong barko sa beck and call ni Bongbong Marcos",Philippines,fake
1, Ang isang imahe na ibinahagi sa Facebook ay nagsasabing nagpapakita ng isang anunsyo ng lockdown mula sa gobyerno ng Pilipinas.,Philippines,fake
1, Nagpadala ang China ng 70 sasakyang panghimpapawid malapit sa West Philippine Sea bilang tugon sa pagpapalakas ng Pilipinas sa mga pagsisikap sa pagtatanggol sa teritoryo.,Philippines,fake
1,Ang ekonomiya ng Pilipinas ang nangunguna sa lahat ng bansa sa Asia sa paglago ng projected gross domestic product batay sa ulat ng International Monetary Fund noong Abril.,Philippines,fake
1, Nangunguna ang ekonomiya ng Pilipinas sa lahat ng bansa sa Asya sa paglaki ng inaasahang gross domestic product batay sa ulat ng International Monetary Fund noong Abril.,Philippines,fake
1, Si Ferdinand Marcos Sr. ay nakakuha ng grado na halos 98% nang siya ay kumuha ng bar exam noong 1939. Siya ang may pinakamataas na marka sa kasaysayan ng Philippine bar exams.,Philippines,fake
1," Ang gobyerno ng Pilipinas ay “puputulin ang anumang pakikipag-ugnayan"" sa International Criminal Court ""dahil hindi na ito makakapag-apela"" pagkatapos ""mabigo ang apela” nito.",Philippines,fake
1, Nagpaputok ng water cannon ang Philippine Coast Guard sa mga bangka ng China sa West Philippine Sea,Philippines,fake
1, Ang warrant of arrest ni Bill Gates ay inilabas sa Pilipinas,Philippines,fake
1," ""Bill Gates arrest warrant na inisyu sa Pilipinas para sa 'premeditated murder' na nauugnay sa pagpapalabas ng bakuna.""",Philippines,fake
1,"Si Senador Ronald “Bato” Dela Rosa, dating hepe ng Philippine National Police (PNP), ay akusado sa kasong may kinalaman sa mga pagpatay na may kaugnayan sa droga na iniimbestigahan ng International Criminal Court (ICC).",Philippines,fake
1, Ang Heinous Crimes Court in the Philippines ay naglabas ng warrant para sa pag-aresto kay Bill Gates para sa planong pagpatay na nauugnay sa pagpapalabas ng bakuna.,Philippines,fake
1, Ang ulat ng balita ay nagsasaad na ang gobyerno ng Pilipinas ay nagbabala na ang mga bakuna ay mapanganib.,Philippines,fake
1, Ang sistema ng Unibersidad ng Pilipinas ay isinasara,Philippines,fake
1, Naglabas ng utos sina Pangulong Ferdinand Marcos at Sen. Raffy Tulfo na isara ang Philippine Charity Sweepstakes Office (PCSO),Philippines,misleading
1, Pinag-uusapan ng gobyernong Marcos at ng Estados Unidos ang kasunduan sa pagtatayo ng pasilidad na nukleyar sa Pilipinas,Philippines,misleading
1, ang pangkalahatang publikong Pilipino ay maaaring magsimulang tumanggap ng kanilang mga pensiyon sa edad na 40,Philippines,misleading
